GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blockchain Maven Webapp,com.blockchain,ApiServlet,13,0,0,0,5,0,2,0,2,0
blockchain Maven Webapp,com.blockchain,ApiGetMessageServlet,13,0,0,0,5,0,2,0,2,0
